min_cost_per_person,max_cost_per_person,time_stayed_in_days,travel_place,traveled_from,travel_month,hotel_name,did_you_like_the_hotel,recommended_restaurant,did_you_like_the_restaurant
1500,2200,1.0,panam city sonargaon,dhaka,december,Grand Hill,no,pan pacific sonargaon dhaka,yes
2200,3000,1.0,ratargul swamp forest,campus ,november,Resort Hill,yes,sinbad restaurant,yes
1500,2000,1.0,mahasthangarh,sirajganj,december,Palace Hill,yes,Spice Restaurant,yes
4700,6200,2.5,coxs bazar, dhaka ,october,ocean paradise hotel,no,poushee hotel & restaurant,yes
2500,6400,2.5,sajek valley,jashore ,february,Palace Hill,yes,Spice Kabab House,yes
4300,5300,7.5,saint martins island,sirajganj ,november,hotel prince heaven,no,flying fish & food restaurant,yes
7000,9000,4.0,rangamati,cox's bazar,may,rangamati hill view resort,no,gang sabarang,no
3000,5700,1.5,coxs bazar,narsingdi ,september,sea view hotel,no,the seven seas restaurant,no
2400,3800,1.5,sitakunda eco park,thakurgaon,september,Hotel Hotel,yes,chui jhal beef restaurant,no
1500,7200,5.5,lawachara national park,barishal ,december,grand sultan tea resort & golf,yes,Palace Diner,no
3800,6100,2.0,tanguar haor,brahmanbaria ,august, haor bilash cottage,yes,rose garden restaurant,no
7500,8900,9.0,lawachara national park,noakhali ,november,grand sultan tea resort & golf,no,kutum bari restaurant,no
1500,2800,1.0,paharpur buddhist vihara,"jatrabari,dhaka",february,hotel touch & go,yes,midas restaurant,yes
6100,6700,2.5,coxs bazar,chittagong ,october,coxs bazar inn,yes,bay marine beach resort restaurant,yes
2200,4100,1.0,ratargul swamp forest, barishal,november,Green Inn,yes,Paradise Food Court,yes
2400,7300,4.5,coxs bazar,"jatrabari,dhaka",december,ratargul swamp forest,yes,handi,yes
1500,3100,1.0,mahasthangarh, gazipur ,march,momo inn,yes,Traditional Hotel and Restaurant,yes
3700,5300,5.0,jaflong,chittagong ,december,jaflong eco resort,yes,pach bhai restaurant,yes
1500,2200,1.0,mahasthangarh,sirajganj,january,Grand Resort,yes,Taste Kabab House,yes
6400,8000,10.0,lawachara national park,noakhali ,december,Hill View,no,asian eco cafe & restaurant,no
3000,5000,5.5,coxs bazar,sylhet ,december,hotel esha international,no,sea view restaurant,yes
1500,8100,4.0,jaflong,dinajpur ,july,Golden Palace,yes,jaflong view restaurant,yes
4200,4800,9.5,saint martins island, dhaka,january,Palace Hill,yes,flying fish & food restaurant,no
2200,5300,3.0,rangamati,dhaka,september,Hill Lodge,yes,cafe mangal,no
4500,6200,2.0,bandarban,jashore,january,Resort Hill,yes,Taste Restaurant,yes
3400,6000,1.0,kuakata,panchagarh ,september,hotel sea paradise,no,Palace Diner,no
5100,7500,3.5,sajek valley,bike ,may,sajek tourist complex,yes,sajek kutumbari restaurant,no
5700,6300,3.0,coxs bazar,dhala,october,marma resort,no,bay marine beach resort restaurant,no
4000,4600,1.0,coxs bazar,cox's bazar,april,green house resort,yes,kasturi restaurant,yes
4000,5000,2.0,jaflong,dinajpur ,june,Sea View,no,pach bhai restaurant,yes
6400,7500,1.0,coxs bazar,comilla ,october,beach hotel,no,palongki inani,no
3800,5800,1.5,rangamati, teknaf,september,cloudy lake resort,no,cafe mangal,yes
4600,5800,2.0,tanguar haor,jashore,august,Palace Palace,yes,Traditional Diner,no
5200,5800,2.0,bichanakandi,kishoreganj ,september,Golden Inn,yes,Palace Food Court,no
4000,5300,2.5,jaflong,"jatrabari,dhaka",august,hotel noorjahan grand,yes,Golden Food Court,no
2800,5200,1.0,bandarban,dhaka ,october, hillside resort,yes,hill's dine,yes
4200,5000,2.5,jaflong,cumilla,december, jaflong inn,no,pach_bhai restaurant,yes
4600,6500,9.0,lawachara national park,dhaka ,november,Hill View,no,Spice Kabab House,no
4900,7000,2.0,tanguar haor,sylhet,august,Hill Hill,yes,Paradise Food Court,no
4400,4900,3.0,rangamati,faridpur ,april,cloudy lake resort,no,Family Cafe,no
2700,4500,2.0,sitakunda eco park,home,september," the peninsula chittagong, hotel agrabad",yes,rajbari restaurant,no
2600,4000,1.5,sitakunda eco park,chittagong ,august,Hotel Hotel,yes,chui jhal beef restaurant,no
5200,6900,2.0,tanguar haor,brahmanbaria ,june,Hill Hill,yes,Paradise Food Court,no
3300,6400,1.5,kuakata,kishoreganj ,may,hotel aman international,no,sea palace restaurant,yes
3800,5500,2.0,tanguar haor,barisal,june, houseboats,yes,Traditional Diner,no
6000,6600,8.5,bandarban,kushtia,december,chimbuk hill resort,yes,green prairie restaurant,yes
1500,3100,1.0,paharpur buddhist vihara,home,february,Hotel View,no,Spice Hotel and Restaurant,yes
4200,5600,4.0,sajek valley,chittagong ,march,ruilui resort,yes,maruti didi restaurant,yes
1500,3500,5.0,jaflong,dinajpur ,may,hotel noorjahan grand,no,sinbad restaurant,no
2300,3800,3.5,kuakata,tangail,april,hotel graver inn international,no,Palace Kabab House,yes
1500,3400,1.0,panam city sonargaon,dhaka,july,Royal Resort,no,Palace Hotel and Restaurant,yes
2800,4300,10.0,saint martins island,barisal,january,Palace Hill,yes,Traditional Cafe,yes
5100,6200,6.0,saint martins island,jashore,december,coral view resort,yes,hasan restaurant,yes
3300,6800,2.5,rangamati,rajshahi ,february,Palace Resort,yes,cafe mangal,yes
1500,2300,1.0,paharpur buddhist vihara,"jatrabari,dhaka",february,hotel touch & go,no,Palace Cafe,yes
